backend,queueName,duration,messageSize,maxMessages,producers,consumers,nonBlocking,randomPayload,latencySample,elapsedSec,recv,bytesRecv,msgPerSec,MiBps,p50us,p90us,p95us,p99us,p999us
gcd,gcd_queue,3,8192,1024,4,4,0,0,50000,3.217918,5407857,44301164544,1680545.35,13129.26,11.00,225.00,375.00,811.01,1890.02
nsoperation,nsoperation_queue,3,64,1024,1,1,0,0,50000,3.349149,1947208,124621312,581403.89,35.49,14.00,441.00,772.00,1236.01,2485.00
nsoperation,nsoperation_queue,3,64,1024,1,2,0,0,50000,3.317540,1645245,105295680,495923.24,30.27,51.00,908.10,1240.00,1821.01,6805.06
nsoperation,nsoperation_queue,3,64,1024,1,4,0,0,50000,3.249183,1508445,96540480,464253.63,28.34,30.00,974.00,1417.00,1930.00,2703.01
nsoperation,nsoperation_queue,3,64,1024,2,1,0,0,50000,3.249464,2039654,130537856,627689.29,38.31,1444.00,1633.00,1755.00,2074.00,2548.01
nsoperation,nsoperation_queue,3,64,1024,2,2,0,0,50000,3.158078,1570117,100487488,497174.83,30.35,1793.00,2099.00,2173.00,2418.00,3594.00
nsoperation,nsoperation_queue,3,64,1024,2,4,0,0,50000,3.167314,1394413,89242432,440250.99,26.87,95.00,853.00,1321.00,1957.00,5142.00
nsoperation,nsoperation_queue,3,64,1024,4,1,0,0,50000,3.194617,1404181,89867584,439545.91,26.83,2229.00,2582.00,2656.00,2822.00,3161.00
nsoperation,nsoperation_queue,3,64,1024,4,2,0,0,50000,3.197899,1436410,91930240,449173.02,27.42,2140.00,2717.00,2832.00,3081.01,4290.01
nsoperation,nsoperation_queue,3,64,1024,4,4,0,0,50000,3.209163,1378231,88206784,429467.40,26.21,1957.00,2521.00,2659.00,2987.01,3816.02
nsoperation,nsoperation_queue,3,256,1024,1,1,0,0,50000,3.631474,1869153,478503168,514709.23,125.66,13.00,230.10,588.00,1358.00,2959.01
nsoperation,nsoperation_queue,3,256,1024,1,2,0,0,50000,3.261344,1700663,435369728,521460.74,127.31,28.00,753.00,1152.00,1619.02,2204.04
nsoperation,nsoperation_queue,3,256,1024,1,4,0,0,50000,3.230219,1491586,381846016,461760.08,112.73,26.00,1099.00,1507.00,1906.00,2211.00
nsoperation,nsoperation_queue,3,256,1024,2,1,0,0,50000,3.338478,2056350,526425600,615954.40,150.38,1369.00,1588.00,1774.00,2343.00,10759.67
nsoperation,nsoperation_queue,3,256,1024,2,2,0,0,50000,3.177600,1559409,399208704,490750.54,119.81,1735.00,2112.10,2201.00,2492.00,2953.00
nsoperation,nsoperation_queue,3,256,1024,2,4,0,0,50000,3.179451,1371044,350987264,431220.34,105.28,86.00,973.00,1450.00,1959.01,2279.00
nsoperation,nsoperation_queue,3,256,1024,4,1,0,0,50000,3.259043,1363676,349101056,418428.34,102.16,2314.00,2599.00,2681.00,2917.01,3522.00
nsoperation,nsoperation_queue,3,256,1024,4,2,0,0,50000,3.186641,1302986,333564416,408890.18,99.83,2296.00,2863.00,3088.00,3792.02,17076.02
nsoperation,nsoperation_queue,3,256,1024,4,4,0,0,50000,3.136666,1401195,358705920,446714.73,109.06,1205.00,2149.00,2366.05,2934.01,4947.00
nsoperation,nsoperation_queue,3,1024,1024,1,1,0,0,50000,3.588087,1474660,1510051840,410987.86,401.36,10.00,25.00,69.05,553.00,1387.00
nsoperation,nsoperation_queue,3,1024,1024,1,2,0,0,50000,3.582774,1457550,1492531200,406821.64,397.29,14.00,48.00,739.00,1373.01,1626.00
nsoperation,nsoperation_queue,3,1024,1024,1,4,0,0,50000,3.842385,1531124,1567870976,398482.67,389.14,15.00,1026.00,1347.05,1759.01,2069.00
nsoperation,nsoperation_queue,3,1024,1024,2,1,0,0,50000,4.265399,2185430,2237880320,512362.38,500.35,1228.00,1518.00,1662.00,2068.00,4805.24
nsoperation,nsoperation_queue,3,1024,1024,2,2,0,0,50000,3.332379,1608065,1646658560,482557.60,471.25,445.00,1671.00,1873.00,2242.00,2626.01
nsoperation,nsoperation_queue,3,1024,1024,2,4,0,0,50000,3.392822,1390325,1423692800,409784.26,400.18,55.00,639.00,1123.05,1790.00,2139.00
nsoperation,nsoperation_queue,3,1024,1024,4,1,0,0,50000,3.356700,1453739,1488628736,433085.73,422.94,2115.00,2479.00,2586.00,3062.00,4054.00
nsoperation,nsoperation_queue,3,1024,1024,4,2,0,0,50000,3.341472,1312597,1344099328,392820.01,383.61,2372.00,2732.00,2833.00,3127.00,3507.01
nsoperation,nsoperation_queue,3,1024,1024,4,4,0,0,50000,3.310248,1308004,1339396096,395137.79,385.88,848.00,2049.00,2269.00,2570.00,9672.00
nsoperation,nsoperation_queue,3,4096,1024,1,1,0,0,50000,5.514792,1466565,6007050240,265932.95,1038.80,7.00,27.00,105.00,575.00,1266.00
nsoperation,nsoperation_queue,3,4096,1024,1,2,0,0,50000,5.351818,1409672,5774016512,263400.59,1028.91,8.00,229.00,651.00,1037.00,3345.00
nsoperation,nsoperation_queue,3,4096,1024,1,4,0,0,50000,4.855157,1281433,5248749568,263932.37,1030.99,9.00,780.00,1005.00,1558.00,8021.00
nsoperation,nsoperation_queue,3,4096,1024,2,1,0,0,50000,5.558886,1771252,7255048192,318634.35,1244.67,26.00,1081.00,1366.00,1874.00,2125.00
nsoperation,nsoperation_queue,3,4096,1024,2,2,0,0,50000,5.238137,1403997,5750771712,268033.65,1047.01,149.00,1188.00,1481.05,2143.00,8868.12
nsoperation,nsoperation_queue,3,4096,1024,2,4,0,0,50000,4.780131,1206199,4940591104,252336.00,985.69,32.50,822.10,1107.05,1956.01,9837.00
nsoperation,nsoperation_queue,3,4096,1024,4,1,0,0,50000,5.271327,1576763,6458421248,299120.70,1168.44,1897.00,2372.00,2582.00,2890.00,3469.00
nsoperation,nsoperation_queue,3,4096,1024,4,2,0,0,50000,4.922515,1358676,5565136896,276012.59,1078.17,2040.00,2551.00,2735.00,3322.01,9423.08
nsoperation,nsoperation_queue,3,4096,1024,4,4,0,0,50000,4.753561,1260966,5164916736,265267.65,1036.20,351.00,1551.00,1831.00,2308.01,7016.04
nsoperation,nsoperation_queue,3,8192,1024,1,1,0,0,50000,6.179032,1008406,8260861952,163198.06,1274.98,6.00,76.00,354.00,1561.04,4722.00
nsoperation,nsoperation_queue,3,8192,1024,1,2,0,0,50000,5.565690,807982,6618988544,145171.94,1134.16,45.00,592.00,920.00,2178.01,8510.00
nsoperation,nsoperation_queue,3,8192,1024,1,4,0,0,50000,4.869924,782447,6409805824,160669.24,1255.23,22.00,563.00,842.00,1718.01,4361.00
nsoperation,nsoperation_queue,3,8192,1024,2,1,0,0,50000,5.650770,1215893,9960595456,215172.96,1681.04,174.00,1013.00,1308.00,1879.00,2786.00
nsoperation,nsoperation_queue,3,8192,1024,2,2,0,0,50000,5.489166,1110140,9094266880,202242.03,1580.02,85.00,592.00,863.00,1355.00,2028.01
nsoperation,nsoperation_queue,3,8192,1024,2,4,0,0,50000,5.129246,1055019,8642715648,205686.94,1606.93,26.00,659.00,856.05,1610.01,2532.00
nsoperation,nsoperation_queue,3,8192,1024,4,1,0,0,50000,5.718350,1326972,10870554624,232055.07,1812.93,2107.00,2674.00,2932.00,3554.00,4511.00
nsoperation,nsoperation_queue,3,8192,1024,4,2,0,0,50000,5.416063,1353940,11091476480,249986.01,1953.02,1566.00,2435.00,2648.00,3092.04,7772.00
nsoperation,nsoperation_queue,3,8192,1024,4,4,0,0,50000,4.772522,1069016,8757379072,223993.96,1749.95,306.00,1604.00,2055.00,3145.03,8309.00
